Epoch 1/8 — train_loss: 0.4422, val_auc: 0.9422
Epoch 2/8 — train_loss: 0.3038, val_auc: 0.9555
Epoch 3/8 — train_loss: 0.2659, val_auc: 0.9603
Epoch 4/8 — train_loss: 0.2241, val_auc: 0.9658
Epoch 5/8 — train_loss: 0.2124, val_auc: 0.9696
Epoch 6/8 — train_loss: 0.2000, val_auc: 0.9701
Epoch 7/8 — train_loss: 0.1661, val_auc: 0.9705
Epoch 8/8 — train_loss: 0.1755, val_auc: 0.9708

XGBoost Test AUC: 0.9687407407407408
XGBoost Test Acc: 0.9090909090909091
XGBoost Test Prec: 0.910958904109589
XGBoost Test Rec: 0.8866666666666667
XGBoost Test F1: 0.8986486486486487

AUC: 0.9687407407407408
[133]   test-auc:0.96915
[134]   test-auc:0.96907
[135]   test-auc:0.96898
[136]   test-auc:0.96897
[137]   test-auc:0.96889
[138]   test-auc:0.96887
[139]   test-auc:0.96885
[140]   test-auc:0.96869
[141]   test-auc:0.96880
[142]   test-auc:0.96882
[143]   test-auc:0.96878
[144]   test-auc:0.96873
[134]   test-auc:0.96907
[135]   test-auc:0.96898
[136]   test-auc:0.96897
[137]   test-auc:0.96889
[138]   test-auc:0.96887
[139]   test-auc:0.96885
[140]   test-auc:0.96869
[141]   test-auc:0.96880
[142]   test-auc:0.96882
[143]   test-auc:0.96878
[144]   test-auc:0.96873
[137]   test-auc:0.96889
[138]   test-auc:0.96887
[139]   test-auc:0.96885
[140]   test-auc:0.96869
[141]   test-auc:0.96880
[142]   test-auc:0.96882
[143]   test-auc:0.96878
[144]   test-auc:0.96873
[145]   test-auc:0.96872
[140]   test-auc:0.96869
[141]   test-auc:0.96880
[142]   test-auc:0.96882
[143]   test-auc:0.96878
[144]   test-auc:0.96873
[145]   test-auc:0.96872
[141]   test-auc:0.96880
[142]   test-auc:0.96882
[143]   test-auc:0.96878
[144]   test-auc:0.96873
[145]   test-auc:0.96872
[144]   test-auc:0.96873
[145]   test-auc:0.96872
[145]   test-auc:0.96872
[146]   test-auc:0.96873
[146]   test-auc:0.96873
[147]   test-auc:0.96871
[147]   test-auc:0.96871
[148]   test-auc:0.96874
[148]   test-auc:0.96874
